Kids_First_Biospecimen_ID	Kids_First_Participant_ID	sample_id	ATRX_fpkm	DAXX_fpkm	TERT_fpkm	ATRX_fusion	DAXX_fusion	TERT_fusion
BS_014EVM2D	PT_S21ZTKPS	7316-362	37.92	13.95	0	NA	NA	NA
BS_02NZT8CE	PT_2BJF83GQ	7316-1745	49.23	12.69	0	NA	NA	NA
BS_03FT4S8B	PT_5KRVE8E4	7316-1671	46.98	22.32	0.03	NA	NA	NA
BS_0448A413	PT_VHS5RM2K	7316-364	63.08	17.99	0.68	NA	NA	NA
BS_044XZ8ST	PT_QAX38GM7	7316-3570	39.31	12.85	0	NA	NA	NA
BS_052PZFMK	PT_N3205P0D	7316-1099	19.99	22.74	0.01	NA	NA	NA
BS_063ERW0R	PT_3V5GTCJR	7316-1646	55.29	13.73	0.04	NA	NA	NA
BS_06AMMCXR	PT_Q3EP24V1	7316-154	34.87	17.71	0	NA	NA	NA
BS_06XH7EVF	PT_G8DRDA33	7316-879	23.37	11.08	0	NA	NA	NA
BS_07ANYSYQ	PT_S4H6KA09	7316-2134	41.91	16.23	0.3	NA	NA	NA
BS_09R7GDA7	PT_0PT33SCF	7316-1100	33.16	16.1	0.01	NA	NA	NA
BS_09Z7TC35	PT_YHTK536P	7316-1714	70.56	25.97	2.92	NA	NA	NA
BS_0BXY0F9N	PT_164RNWTT	7316-1078	24.62	10.92	0	NA	NA	NA
BS_0C7VZC0A	PT_VAJN5QP8	7316-2176	74.92	21.48	0	NA	NA	NA
BS_0GDJQANN	PT_ABV3RS3T	7316-471	32.13	9.62	0.05	NA	NA	NA
BS_0HW7W7SD	PT_C73C5BBZ	7316-2658	61.19	13.37	0.62	NA	NA	NA
BS_0J9SHHSC	PT_WVC247PK	7316-1090	49.19	14.77	0	NA	NA	NA
BS_0QYS36NR	PT_V3Q78E6F	7316-455	19.72	14.5	0.01	NA	NA	NA
BS_0RF0EZTV	PT_MW0QVGW2	7316-286	35.34	14.7	0	NA	NA	NA
BS_0RQ4P069	PT_C2D4JXS1	7316-1746	22.14	13.88	0	NA	NA	NA
BS_0SCXXM6N	PT_SMDEQVHJ	7316-119	50.73	14.52	0	NA	NA	NA
BS_0SPCTBZY	PT_PKHG2YFW	7316-3306	25.73	20.8	0.08	NA	NA	NA
BS_0T17SY47	PT_BQ8BQ01J	7316-183	35.11	13.6	0.08	NA	NA	NA
BS_0VRSD9V3	PT_3WA7SBQ6	7316-2248	50.72	8.24	0.01	NA	NA	NA
BS_0VXZCRJS	PT_40HTPY49	7316-466	13.97	26.76	0.07	NA	NA	NA
BS_0WQJP6ZG	PT_Y6Y9JJ9P	7316-425	30.97	12.51	0.76	NA	NA	NA
BS_0WVJYM9R	PT_MNR94DEV	7316-370	32.36	11.05	0	NA	NA	NA
BS_0X9EGHY2	PT_3KK1F95W	7316-1744	46.63	12.78	0	NA	NA	NA
BS_0XEG6SNV	PT_82A9SDRN	7316-2313	54.96	22.34	0.07	NA	NA	NA
BS_0Y66ZBWE	PT_V2F0865M	7316-642	54.26	16.23	0	NA	NA	NA
BS_0ZA67BBC	PT_VPEMAQBN	A12748	16.56	25.93	0.01	NA	NA	NA
BS_1021ZGQT	PT_HJMP6PH2	7316-3775	60.78	15.49	0.1	NA	NA	NA
BS_10APZRVT	PT_3D74J8RZ	7316-877	36.29	11.66	0	NA	NA	NA
BS_11WY983P	PT_7A1PYTP9	7316-294	34.49	18.53	0.47	NA	NA	NA
BS_13CGKADW	PT_WGWMA5AZ	7316-148	54.06	9.36	0	NA	NA	NA
BS_15ETQ0E4	PT_CW0BJE0Y	7316-41	32.63	20.13	2.05	NA	NA	NA
BS_1607397Q	PT_7VSY72EK	7316-1855	53.96	52.08	60.95	NA	NA	NA
BS_17WYVEEC	PT_FKWCVXNC	7316-332	42.99	12.28	0	NA	NA	NA
BS_196BBNEJ	PT_BNARR0N6	7316-1954	29.41	17.75	0.02	NA	NA	NA
BS_1A6MQ9ZA	PT_JSFBMK5V	7316-1769	38.61	21.86	0	NA	NA	NA
BS_1AYRM596	PT_BPKVVWVB	7316-2250	66.09	16.51	0.2	NA	NA	NA
BS_1BWP5MCT	PT_23NZGSRJ	7316-2659	69.18	26.52	25.73	NA	NA	NA
BS_1D6PZNKN	PT_7DTGJYA7	7316-1695	46.56	19.58	0.49	NA	NA	NA
BS_1EBQ3T20	PT_4347ZBEX	7316-913	50.02	18.92	0.36	NA	NA	NA
BS_1EN5V3XW	PT_RDJ40M73	7316-2561	57.77	20.9	0	NA	NA	NA
BS_1G3WYEN3	PT_TXFYRDP4	7316-193	46.02	12.32	0.02	NA	NA	NA
BS_1HFK0SXV	PT_2GPH62JS	7316-1775	43.78	18.86	0.03	NA	NA	NA
BS_1HQ76V6D	PT_WE1CHTWK	7316-87	51.13	14.96	0	NA	NA	NA
BS_1J2WQ08M	PT_MKDQZ17N	7316-3300	29.36	17.66	0.55	NA	NA	NA
BS_1JDG6JV5	PT_CK41DW03	7316-329	34.91	19.29	0.01	NA	NA	NA
BS_1KYGSMA7	PT_YGN06RPZ	7316-2208	48.43	15.86	0.02	NA	NA	NA
BS_1N7MQZGR	PT_NK8A49X5	A14449	13.13	17.52	0.01	ATP7A--ATRX	NA	NA
BS_1N9XZXGE	PT_X8S0H6TG	7316-876	28.83	26.36	0.96	NA	NA	NA
BS_1NPD7PVG	PT_R9V5R1SY	7316-1940	35.57	17.04	0	NA	NA	NA
BS_1QNTEZPS	PT_5CKDR2SF	7316-525	50.6	17.52	0.26	NA	NA	NA
BS_1QXEC43H	PT_FN4GEEFR	7316-3010	40.2	24.12	2.32	NA	NA	NA
BS_1RT76ANT	PT_5SX0GRW1	7316-1927	44.21	58	4.11	NA	NA	NA
BS_1RXZ3BP7	PT_02J5CWN5	7316-898	36.48	12.91	0	NA	NA	NA
BS_1SVVER1H	PT_RM9AZ7A8	7316-2084	32.64	12.24	0	NA	NA	NA
BS_1T19NFJ8	PT_QEMT1845	7316-3153	41.07	10.59	0.01	NA	NA	NA
BS_1TPWFSK6	PT_7JQ24F35	7316-1957	45.62	11.06	0	NA	NA	NA
BS_1TWCV047	PT_85RSG67R	7316-2986	74.65	15.59	1.84	NA	NA	NA
BS_1XJ73KBQ	PT_AXVH36AM	7316-2180	42.93	16.78	0	NA	NA	NA
BS_1ZVXF5FE	PT_TS0FW57Z	7316-2167	46.23	12.49	0	NA	NA	NA
BS_21ET39G7	PT_KZ56XHJT	A12398	18.83	17.15	0.01	NA	NA	NA
BS_21RE8W46	PT_VABP80N2	7316-1949	40.55	18.92	0.05	NA	NA	NA
BS_23M72ABG	PT_AQWDQW27	7316-523	27.24	13.09	0	NA	NA	NA
BS_23QW0BBA	PT_3X3MF8ZD	7316-114	49.42	22.3	0	NA	NA	NA
BS_23W9EPFE	PT_1ZAWNGWT	7316-3345	14.9	22.32	0	NA	NA	NA
BS_24AHZ9ZW	PT_SRWZDG3N	7316-361	35.77	16.28	0	NA	NA	NA
BS_258RRGDM	PT_DQ3ZCHB6	7316-2195	47.36	12.67	0.06	NA	NA	NA
BS_25T139TX	PT_TH8M3W34	7316-2130	51.6	16.98	0	NA	NA	NA
BS_264RCK7G	PT_3A0B29QT	7316-80	56.61	14.89	0	NA	NA	NA
BS_273HKCT4	PT_8CZ6ANE0	7316-1970	46.16	12.67	0	NA	NA	NA
BS_27QE6BV7	PT_Z9QE51C3	7316-373	32.79	9.23	0.01	NA	NA	NA
BS_28CDASF7	PT_S4YNE17X	7316-377	44.32	17.68	0	NA	NA	NA
BS_29006KEX	PT_XCCV6CW2	7316-2268	25.76	13	0	NA	NA	NA
BS_29CPJ040	PT_06ERX8Z7	7316-2578	39.81	14.19	0	NA	NA	NA
BS_29X4ZX6Q	PT_63HDZHCN	7316-2980	21.1	25.95	0.08	NA	NA	NA
BS_2A162JH9	PT_JNEV57VK	7316-3058	24.06	25.04	0.01	NA	NA	NA
BS_2A5R9MEJ	PT_FYPWZBH0	7316-1085	55.96	17.66	0.14	NA	NA	NA
BS_2ADZNNV4	PT_NTK39NNV	7316-3076	39.68	11.2	0	NA	NA	NA
BS_2AR3AP0N	PT_AWBPNFM5	7316-1854	30.22	11.35	0.01	NA	NA	NA
BS_2EMW8ZG3	PT_FFRHWB74	7316-932	33.26	11.73	0	NA	NA	NA
BS_2EN3X6HB	PT_CSZ9QA1N	7316-1464	38.01	13.99	0	NA	NA	NA
BS_2HN96129	PT_DTP4MMRA	7316-1463	46.52	16.63	0	NA	NA	NA
BS_2JP7RBMB	PT_Y74CVASJ	A16538	14.17	21.19	0.05	NA	NA	NA
BS_2KJ2YAZR	PT_N8W26H19	7316-267	40.9	16.02	0	NA	NA	NA
BS_2R9TCR03	PT_ZMKMKCFQ	7316-2988	32.84	14.81	0	NA	NA	NA
BS_2SFTWNVE	PT_BG7GAFK6	7316-3626	61.56	11.9	0.36	NA	NA	NA
BS_2SHWPB5P	PT_FZHGKJ0H	7316-4034	9.24	9.04	0.01	NA	NA	NA
BS_2W3NC4K1	PT_2E552BAR	7316-2719	24.42	15.81	0	NA	NA	NA
BS_2WPQ8YCW	PT_KQK98ZVP	7316-1803	48.71	19.56	0.01	NA	NA	NA
BS_2XD3MNKD	PT_YQWG98Z5	7316-2856	28.82	11.39	0.01	NA	NA	NA
BS_2YCJV2VV	PT_TD6ST5MG	7316-235	45.39	18.16	0	NA	NA	NA
BS_2Z1MKS84	PT_1T7WF5S1	7316-2934	52.27	11.89	0.16	NA	NA	NA
BS_30VC3R2Q	PT_7DTGJYA7	7316-639	50.74	17.14	0	NA	NA	NA
BS_31TF0P1N	PT_M04EC74B	7316-918	18.21	12.12	0.09	NA	NA	NA
BS_34201DKZ	PT_V0X73HEQ	7316-2182	28.97	10.52	0	NA	NA	NA
BS_37GTVG4N	PT_DQT78GS5	7316-3326	41.54	22.52	0.3	NA	NA	NA
BS_398KYV92	PT_976P4557	7316-214	29.33	8.91	0.08	NA	NA	NA
BS_399RPKC9	PT_KVMF5TFW	7316-3030	41.93	13.84	0.3	NA	NA	NA
BS_39CGACC7	PT_CBAYDRF9	7316-1675	27.99	9.46	0	NA	NA	NA
BS_3AC3SRWH	PT_SDPA6AAP	7316-624	3	7.36	0	NA	NA	NA
BS_3BDAG9YN	PT_62VNQ8C4	7316-1884	29.04	17.29	0	NA	NA	NA
BS_3BVVWHP5	PT_JW6FBEFK	7316-3019	30.32	14.67	0	NA	NA	NA
BS_3DCBDJAT	PT_AKQZZPH8	7316-2782	26.02	13.59	0.06	NA	NA	NA
BS_3EVSN5QD	PT_HXDCHQ9Y	7316-2171	57.09	14.61	0	NA	NA	NA
BS_3F4FQJMR	PT_8RB7TPS2	7316-3	32.51	10.34	0.01	NA	NA	NA
BS_3F5PR9GS	PT_HM2GMT2H	7316-6	69.15	18.12	1.05	NA	NA	NA
BS_3G3KWY18	PT_48N4Y6YP	7316-1866	33.84	14.06	0	NA	NA	NA
BS_3H71BH6Q	PT_AWMZ12NP	7316-2203	33.03	15.22	0.01	NA	NA	NA
BS_3J85TTZM	PT_5ZHYHDY2	7316-1459	28.39	12.88	0.01	NA	NA	NA
BS_3KASVCSQ	PT_T2V4X5ZW	7316-965	59.72	14.72	0.02	NA	NA	NA
BS_3KHXMAJF	PT_TGTJECMR	7316-2647	18.55	13.6	0	NA	NA	NA
BS_3MS8WVNR	PT_AP658JQV	7316-519	23.46	22.49	0.02	NA	NA	NA
BS_3MYEMXPQ	PT_RQ21EBK9	7316-367	71.26	12.85	0	NA	NA	NA
BS_3NNQ6PSB	PT_GNKRMTQY	7316-3856	53.43	12.41	0.16	NA	NA	NA
BS_3NWQXPQV	PT_0DWRY9ZX	7316-2221	74.12	20.5	0.16	NA	NA	NA
BS_3P20Q2C3	PT_HYXSSCJ5	7316-1088	64.86	14.21	0	NA	NA	NA
BS_3PYESPHA	PT_A594A46X	7316-91	47.04	10.07	0	NA	NA	NA
BS_3Q0GTSYH	PT_KXB1PJV0	7316-206	55.22	13.1	0	NA	NA	NA
BS_3T6X4BPC	PT_BBHAD51D	7316-1089	44.26	18.33	0.06	NA	NA	NA
BS_3TQSE8HF	PT_BYJ428GA	7316-290	45.43	15.84	0	NA	NA	NA
BS_3V3KE3VT	PT_9DMMZ08D	7316-1676	49.59	24.38	0.82	NA	NA	NA
BS_3W07B2TG	PT_HMY997GX	7316-3554	33.67	15.73	0	NA	NA	NA
BS_3X9WMZGJ	PT_3VCS1PPF	7316-198	33.35	12.7	0.01	NA	NA	NA
BS_3XY76V8T	PT_GDDWPDMC	7316-2575	41.58	14.88	0	NA	NA	NA
BS_3Y0QXZQB	PT_K8ZV7APT	7316-2590	28.27	13.82	0	NA	NA	NA
BS_401R3KV0	PT_MBAXTJET	7316-275	35.14	14.41	0	NA	NA	NA
BS_40MP5BWR	PT_JSFBMK5V	7316-1769	50.46	18.38	0	NA	NA	NA
BS_42DY6WS7	PT_12JTZFC2	7316-3504	49.42	16.19	0	NA	NA	NA
BS_42Y3YANN	PT_BDNE55YT	7316-1710	41.04	15.46	0.01	NA	NA	NA
BS_44A3ES23	PT_9DMMZ08D	7316-1666	76.86	24.41	1.29	NA	NA	NA
BS_45J79YTF	PT_6GDPNFA6	7316-2610	49.55	12.38	0.21	NA	NA	NA
BS_46BZ2NNN	PT_41RR5FQD	7316-1115	20.99	17.2	0.36	NA	NA	NA
BS_470DYRJQ	PT_0EWY6S6S	7316-3491	34.39	10.86	0.01	NA	NA	NA
BS_478TN841	PT_W6AWJJK7	7316-230	34.43	13.52	0	NA	NA	NA
BS_479S95Q6	PT_8V3360DR	7316-641	33.79	9.91	0	NA	NA	NA
BS_47SJZ3PH	PT_1VQWQ0TC	7316-3627	54.74	16.66	0	NA	NA	NA
BS_49852ZBH	PT_5VAKED5F	7316-2689	34.3	13.12	0	NA	NA	NA
BS_49BQS7Z6	PT_HNZNZ635	7316-2151	33.96	13.65	0	NA	NA	NA
BS_49CJNZ06	PT_M9XXJ4GR	A09576	5.23	42.64	0	NA	NA	NA
BS_49F4RAA4	PT_J06X17XH	7316-1649	26.88	10.41	0.05	NA	NA	NA
BS_49FQXT2E	PT_89XRZBSG	7316-1789	48.75	16.84	0.01	NA	NA	NA
BS_49VCQD19	PT_DEDRCQWH	7316-398	36.61	9.35	0	NA	NA	NA
BS_4A45GGSW	PT_QJDY4Y9P	7316-562	46.16	12.13	0	NA	NA	NA
BS_4B0BAVTX	PT_7FZ8SE69	7316-2152	42.07	15.88	0.02	ATRX--AL157778.1/AL137843.1	NA	NA
BS_4BWB0FA0	PT_EXYXBDGP	7316-3140	30.58	14.39	0	NA	NA	NA
BS_4C4MZ4NT	PT_A9F8Y6MA	7316-476	32.17	22.9	0	NA	NA	NA
BS_4CP4T22V	PT_9HMVHQEH	7316-22	88.12	18.94	0.17	NA	NA	NA
BS_4D9DD103	PT_9A6RPJ97	7316-906	42.19	11.85	0.54	NA	NA	NA
BS_4E1G7E3G	PT_RJ1TJ2KH	7316-2110	104.51	27.17	2.61	NA	NA	NA
BS_4EN8D8Y4	PT_ZRQQC2S9	7316-3139	39.21	17.41	0	NA	NA	NA
BS_4FZS7TX4	PT_NPETR8RY	7316-160	37.05	13.42	0	NA	NA	NA
BS_4GTESTSE	PT_1ZAWNGWT	7316-319	35.03	17.47	0.1	NA	NA	NA
BS_4HQ3T2NC	PT_6N1QWCXE	7316-3169	38.21	13.83	0	NA	NA	NA
BS_4JWBB28H	PT_69C7CBFW	7316-1959	29.05	16.67	1.22	NA	NA	NA
BS_4NF35AF6	PT_FAPEH6R1	7316-1660	49.08	16.2	0.01	NA	NA	NA
BS_4NWHYH53	PT_Y4FN0XN1	7316-1252	51.75	13.3	0.01	NA	NA	NA
BS_4PH1MBGR	PT_NDVJE438	7316-2811	76.66	16.69	0.59	NA	NA	NA
BS_4PPHAQXF	PT_P5HHJJPH	7316-870	19.78	23.23	0.58	NA	NA	SLC12A7--TERT
BS_4PWDGEB0	PT_FF0NV7ZM	7316-716	17.17	14.43	0	NA	NA	NA
BS_4QW2S1Q8	PT_Y5KY6KN9	7316-195	34.16	31.14	0.01	NA	NA	NA
BS_4SCWT0FX	PT_D3AN5M5W	7316-47	40.8	18.81	0.15	NA	NA	NA
BS_4T0HPZDC	PT_06H29FCG	7316-1944	23.31	22.35	0.02	NA	NA	NA
BS_4W1DBAN4	PT_5D3AVPCW	7316-187	44.85	11.49	0	NA	NA	NA
BS_4W68NV3M	PT_D215EQAP	7316-747	41.48	17.62	9.87	NA	NA	NA
BS_4Y6BCYK5	PT_N9SG16EC	7316-1958	28.19	15.39	0	NA	NA	NA
BS_4Z2F4P9N	PT_BWGZBVD1	7316-1678	40.77	14.68	0.01	NA	NA	NA
BS_51RA1PGE	PT_HMF8J4EG	7316-644	31.87	14.97	0.01	NA	NA	NA
BS_52426AMF	PT_3HRS5CWF	7316-925	47.55	11.24	0	NA	NA	NA
BS_52C576HH	PT_KFYJBQB8	7316-3075	19.66	29.14	0	NA	NA	NA
BS_52DAPP1Y	PT_WYF217NZ	7316-345	49.04	14.04	0	NA	NA	NA
BS_52MPKTJH	PT_KX84KH6K	7316-2703	60.37	14.78	0	NA	NA	NA
BS_53CTGDQG	PT_3D74J8RZ	7316-1792	31.57	7.55	0	NA	NA	NA
BS_53GQKVEX	PT_GQZ84ACS	7316-487	40.21	18.12	0	NA	NA	NA
BS_53M8PP88	PT_NPETR8RY	7316-1784	48.09	20.44	0.1	NA	NA	NA
BS_55JW3HFM	PT_R10BSB9F	7316-1965	38.28	15.13	0	NA	NA	NA
BS_55P8HPYD	PT_Q25V9Y6M	7316-1668	48.34	16.89	0	NA	NA	NA
BS_58YXHGAJ	PT_G4N67N0D	7316-1057	19.38	34.99	1.49	NA	NA	NA
BS_593HEWBF	PT_DB800CE1	7316-261	37.25	15.86	0	NA	NA	NA
BS_5965SFPZ	PT_A325EYR2	7316-2557	53.41	15.16	0.01	NA	NA	NA
BS_59ZJWJTF	PT_3AWKWXEV	7316-85	19.86	18.15	0	NA	NA	NA
BS_5AF6ZNJF	PT_02MVZZSW	7316-1702	43.85	10.58	0.02	NA	NA	NA
BS_5CMGN56B	PT_4ZSR5DY8	7316-264	51.45	17.04	0	NA	NA	NA
BS_5CTVXVRX	PT_DW2XRPC9	7316-430	28.88	14.75	0.19	NA	NA	NA
BS_5GNQC2FF	PT_VAJN5QP8	7316-2176	24.53	11.33	0.01	NA	NA	NA
BS_5JM573JC	PT_6Q0NPVP3	7316-2255	18.62	9.36	0.21	NA	NA	NA
BS_5K3R0F5D	PT_A0F23R7E	7316-452	45.29	11.36	0.01	NA	NA	NA
BS_5NWDARXG	PT_EEKE0V9T	7316-32	46.12	12.65	0.01	NA	NA	NA
BS_5P1TN10Z	PT_9BZETM0M	7316-158	3.67	22.51	0	NA	NA	NA
BS_5P3CZQV8	PT_MXASQ2GW	7316-3558	24.39	11.62	0	NA	NA	NA
BS_5PEFNDCY	PT_VQDNSYXM	7316-1637	49.33	12.86	0	NA	NA	NA
BS_5PJCHF6V	PT_Q90R6M3E	7316-897	85.96	12.88	0.09	NA	NA	NA
BS_5PV5N4HQ	PT_YRMG61G8	7316-2305	48.84	16.16	0	NA	NA	NA
BS_5VPM0F36	PT_HGM20MW7	A09446	11.81	20.35	0	NA	NA	NA
BS_5VQP0E6K	PT_H6E09982	7316-5	60.29	9.72	0.38	NA	NA	NA
BS_5YJEPPTP	PT_RFF7MKTC	7316-954	34.13	14.91	0	NA	NA	NA
BS_60K3EQ9S	PT_2D1KGV99	7316-3151	36.53	15.86	0	NA	NA	NA
BS_61E80SD6	PT_39HBKSGG	7316-908	86.42	17.21	7.49	NA	NA	TERT/MIR4457--AL132656.4
BS_64HCD9K3	PT_41BCPB7R	7316-406	36.88	6.79	0.12	NA	NA	NA
BS_66ABA973	PT_0K0DPVF6	7316-121	55.4	12.1	0	NA	NA	NA
BS_66HQ3E4Z	PT_AC5SD9AC	7316-2291	39.35	16.22	0	NA	NA	NA
BS_67PX06P3	PT_WTMSD2WB	7316-3632	17.95	11.02	0	NA	NA	NA
BS_67Z63A2K	PT_NYBH025T	7316-3069	33.51	12.47	0	NA	NA	NA
BS_680K119G	PT_44HPG5YT	7316-3067	38.38	13.85	0.01	NA	NA	NA
BS_685DACMS	PT_7PXN3B4J	7316-784	14.12	53.81	0.77	NA	NA	NA
BS_68BW2163	PT_YZME6QCY	7316-2245	36.89	14.52	0	NA	NA	NA
BS_68KX6A42	PT_RYMG3M91	A18777	19.8	24.58	1.09	NA	NA	GRID2IP--TERT, MARCH6--TERT
BS_699TN5RN	PT_JWW33RTB	7316-1793	35.34	15.56	0.01	NA	NA	NA
BS_69V8P8A0	PT_GBDYKSPY	7316-209	23.99	13.13	0	NA	NA	NA
BS_6DCSD5Y6	PT_4YWZ538V	7316-719	67.1	19.62	0.06	NA	NA	NA
BS_6G6C7VPX	PT_XTVQB9S4	7316-2186	46.36	19.15	0.23	NA	NA	NA
BS_6H1C1ME9	PT_1MW98VR1	7316-2558	25.77	19.46	0.01	NA	NA	NA
BS_6HTK4YJP	PT_7F3ZPZB7	7316-2662	68.8	27.01	2.26	NA	NA	NA
BS_6JHXXVR7	PT_9PJR0ZK7	7316-2576	45.75	47.22	52.56	NA	NA	LHFPL2--TERT, TERT/MIR4457--LHFPL2
BS_6M2053M0	PT_RE6AXQM1	A19015	11.86	26.45	0.03	NA	NA	NA
BS_6MY8W3H0	PT_PY4QFHHV	7316-3768	34.91	9.03	0.11	NA	NA	NA
BS_6MZ7FRZH	PT_6BX46NVR	7316-3893	34.69	16.97	0.86	NA	NA	NA
BS_6N3AFF66	PT_SBHN5F68	7316-516	49.47	13.56	0	NA	NA	NA
BS_6NRTJSYK	PT_98QMQZY7	7316-464	37.23	13.87	15.2	NA	NA	NA
BS_6NTXGQAC	PT_9AHA6KW3	7316-395	28.77	9.99	0.01	NA	NA	NA
BS_6P50QTPP	PT_2ECVKTTQ	7316-2154	42.91	10.46	0.01	NA	NA	NA
BS_6R7SFVV2	PT_HQ89KPKT	7316-202	44.13	10.96	0.07	NA	NA	NA
BS_6T4JGBGY	PT_218SX3G4	7316-529	32.3	13.29	0.03	NA	NA	NA
BS_6VF6VPCG	PT_3MNY9BRY	7316-2583	33.04	15.23	0	NA	NA	NA
BS_6VPKXXMR	PT_6PP78VNE	7316-1893	14.95	25.94	0.02	NA	NA	NA
BS_6WP1FHTE	PT_Z4PJA6KT	7316-1763	31.87	19.47	0.08	NA	NA	NA
BS_6YMJ621P	PT_0F3RHT8J	7316-2673	44.84	9.22	0.01	NA	NA	NA
BS_70FFPA51	PT_BCWGRGDB	7316-3623	48.8	10.77	0	NA	NA	NA
BS_7327SDAQ	PT_7WT6P5M8	7316-2308	12.75	23.59	0	NA	NA	NA
BS_742RHK1M	PT_1TB2V1PH	7316-2608	49.08	37.79	3.71	NA	NA	NA
BS_74FS6GMW	PT_XTVQB9S4	7316-2933	35.37	18.3	2.79	NA	NA	NA
BS_74G5K7JF	PT_8PV84CNE	7316-532	36.33	10.76	0.01	NA	NA	NA
BS_769BDPDB	PT_2FVTD0WR	7316-917	29.54	12.56	0	NA	NA	NA
BS_77317DY4	PT_D7KMPYTZ	7316-2133	65.93	11.32	0.36	NA	NA	NA
BS_775HDFNY	PT_GCKT4FJX	7316-3919	43.35	19.93	0	NA	NA	NA
BS_77CDMEY4	PT_HKWE1GCK	7316-259	26.39	18.94	0	NA	NA	NA
BS_78QX3XDF	PT_Q38AT6JY	7316-3773	25	17.31	0.01	NA	NA	NA
BS_7B89YR6K	PT_ZZWYKZZ8	7316-2758	34.83	13.51	0.14	NA	NA	NA
BS_7BTZQKYY	PT_QZN7FZER	7316-2757	33.66	10	0	NA	NA	NA
BS_7BW0YRPY	PT_0T2EWNYR	7316-1981	50.8	20.3	0.31	NA	NA	NA
BS_7C40TRCY	PT_NCDHZ8H8	7316-2780	49	17.78	0.44	NA	NA	NA
BS_7FWZ518S	PT_SBP79T7F	7316-315	71	11.85	0.42	NA	NA	NA
BS_7G42J2SK	PT_BWN251DF	7316-659	41.63	12.42	0.12	NA	NA	NA
BS_7GJT4A6A	PT_9JT1441X	7316-544	39.27	14.5	0	NA	NA	NA
BS_7H4RFCW9	PT_6DW5NFKX	7316-3150	39.75	25.79	0	NA	NA	NA
BS_7N0B2CY1	PT_NPHZQW6A	7316-1985	52.69	9.82	0	NA	NA	NA
BS_7P83Z28P	PT_K63972GG	7316-666	45.2	14.49	0	NA	NA	NA
BS_7S6GNG04	PT_QH9H491G	7316-382	32.22	12.76	0	NA	NA	NA
BS_7T1J3KET	PT_EC8R84NM	7316-341	49.77	16.72	0	NA	NA	NA
BS_7WM3MNZ0	PT_W5GP3F6B	A16915	1.91	29.04	0	NA	NA	NA
BS_7WNSZNE3	PT_Z4GS3ZQQ	7316-1797	50.51	20.27	0.14	NA	NA	NA
BS_7XQRH69M	PT_CQ7EGCMB	7316-3809	67.84	20.39	0.36	NA	NA	NA
