Kids_First_Biospecimen_ID	Kids_First_Participant_ID	sample_id	ATRX_fpkm	DAXX_fpkm	TERT_fpkm	ATRX_fusion	DAXX_fusion	TERT_fusion
BS_7XRN3CFX	PT_3T3VGWC6	7316-375	34.61	15.32	0.01	NA	NA	NA
BS_7Z93ZYMS	PT_3J0ASVHN	7316-3622	43.35	13.33	0	NA	NA	NA
BS_7ZV3DPGT	PT_QD6KKKJH	7316-1765	13.44	9.07	2.17	NA	NA	NA
BS_81SP2HX4	PT_XA98HG1C	7316-931	46.05	22.42	0.52	NA	NA	NA
BS_84XCR9GG	PT_CB1DN0V8	7316-2241	48.52	13.92	0.11	NA	NA	NA
BS_850BAHH9	PT_HVZTF42R	7316-2187	39.28	13.2	0	NA	NA	NA
BS_86Q14TZG	PT_2WA5PM32	7316-949	28.35	22.51	0.07	NA	NA	NA
BS_893A91ZM	PT_K8ZV7APT	7316-2665	23.05	16.43	0	NA	NA	NA
BS_8D0NYM46	PT_PNED3GG3	7316-387	44.41	23.99	0.02	NA	NA	NA
BS_8F9BDWY4	PT_XY404K0D	7316-1782	57.76	15.73	0.01	NA	NA	NA
BS_8GW1TMV2	PT_GR8P8NY5	7316-178	38.18	19.66	0.36	NA	NA	NA
BS_8J09S6MZ	PT_D8D108NY	7316-448	48.68	15.44	0.02	NA	NA	NA
BS_8J3B6ZB6	PT_EF398HVC	7316-1975	38.2	17.39	0	NA	NA	NA
BS_8MA5B8Y9	PT_AP658JQV	7316-1694	33.21	16.4	0.11	NA	NA	NA
BS_8NY9J9NQ	PT_JEW5HG4W	7316-1703	35.17	13.43	0.01	NA	NA	NA
BS_8PNA0V6R	PT_QQZXYR4M	7316-1946	16.71	14.62	0.01	NA	NA	NA
BS_8Q77HZ4R	PT_YBJYA2CD	7316-2244	41.8	9.69	0	NA	NA	NA
BS_8QB4S4VA	PT_8VRZRZ7R	7316-536	76.88	28.11	0	NA	NA	NA
BS_8RCR7Y4B	PT_RXJZ3C5G	7316-2632	88.05	13.86	0	NA	NA	NA
BS_8RHPJ740	PT_ZA95JQEB	7316-384	21.78	18.4	0	NA	NA	NA
BS_8S86CM61	PT_SA94083W	7316-1856	83.93	17.88	0.19	NA	NA	NA
BS_8SKZ7BRN	PT_9D2N4S5Z	7316-93	35.24	57.93	1.57	NA	NA	NA
BS_8T7DZV2F	PT_62VNQ8C4	7316-968	28.7	12.05	0	NA	NA	NA
BS_8VAZSJEN	PT_6R95FQT2	7316-459	42.42	12.39	0.01	NA	NA	NA
BS_8WPNFT03	PT_CAYBADQC	7316-2641	20.64	47.19	0	NA	NA	NA
BS_8Z3SCKB5	PT_66XN3MT1	7316-936	44.62	18.46	0	NA	NA	NA
BS_8ZD6J47V	PT_4347ZBEX	7316-913	53.84	15.47	0.49	NA	NA	NA
BS_8ZP3CBQA	PT_T4VKB29K	7316-2125	30.89	15.7	0	NA	NA	NA
BS_8ZS9F31R	PT_DW2XRPC9	7316-1723	29.63	19.41	1.16	NA	NA	NA
BS_8ZY4GST0	PT_V1HNAC2Q	A07150	8.55	20.4	0	NA	NA	NA
BS_90B22NGP	PT_JCECCFPB	7316-479	67.5	10.53	0	NA	NA	NA
BS_912NX4Y0	PT_1P436YMM	7316-3917	43.34	11.2	0.01	NA	NA	NA
BS_91VYM11A	PT_MDWPRDBT	7316-2660	38.38	12.43	0.04	NA	NA	NA
BS_92MT680S	PT_98QMQZY7	7316-2724	11.76	5.25	0	NA	NA	NA
BS_92VDQ0NE	PT_DFQAH7RS	7316-2760	45.56	11.38	0.01	NA	NA	NA
BS_94MT16N2	PT_JYZA0PNV	7316-437	78.92	18.07	0	NA	NA	NA
BS_9755PSCS	PT_KBA2VNA2	7316-2249	26.24	14.58	0	ATRX--ATP7A	NA	NA
BS_97M1E2DW	PT_B38P3Y5T	7316-3208	46.45	16.35	0.11	NA	NA	NA
BS_983Z6CA6	PT_3KM9W8S8	7316-3045	19.59	13.96	3.61	NA	NA	NA
BS_996ZS2A4	PT_RX1EWBP9	7316-2276	28.27	18.56	0.55	NA	NA	NA
BS_99B1XRZQ	PT_3VCS1PPF	7316-490	59.45	16.87	0.15	NA	NA	NA
BS_9BJARSX3	PT_41QYPSGV	7316-884	28.15	16.62	0	NA	NA	NA
BS_9CA93S6D	PT_HSHPZAEZ	7316-545	42.59	14.63	0.01	NA	NA	NA
BS_9DFBHHB5	PT_KMHGNCNR	7316-944	48.18	13.43	0	NA	NA	NA
BS_9DZ253JY	PT_N8W26H19	7316-3061	6.3	3.16	0	NA	NA	NA
BS_9E7YVFJM	PT_37WTWPZY	7316-73	19.2	14.2	0.01	NA	NA	NA
BS_9F09XV62	PT_C2VY5NM6	7316-875	37.01	13.78	0.01	NA	NA	NA
BS_9FHSNVS0	PT_JV9G8MFD	7316-2269	112	37.99	0.21	NA	NA	NA
BS_9G69F50J	PT_25Z2NX27	7316-1462	20.84	14.2	0.01	NA	NA	NA
BS_9GJ23RHH	PT_M2J30CF7	7316-1747	25.05	21.31	0.55	NA	NA	NA
BS_9HA238XS	PT_X84SD608	7316-497	37.5	12.06	0	NA	NA	NA
BS_9HSGV9TJ	PT_P75ZXB1S	7316-692	57.17	8.29	0	NA	NA	NA
BS_9M5XJ10G	PT_VH6S71AC	7316-735	82.67	26.23	0.79	NA	NA	NA
BS_9NJHQE9F	PT_VJZN69T9	7316-3510	52.77	14.09	0.9	NA	NA	NA
BS_9NZ2D6AD	PT_9YMRNZHH	7316-2178	54.31	21.44	0.38	NA	NA	NA
BS_9P9MB8X8	PT_45YH276T	7316-499	52.2	14.91	0	NA	NA	NA
BS_9PB3XH5D	PT_04YTK82N	7316-746	68.74	23.33	0.32	NA	NA	NA
BS_9Q6Z6VJC	PT_M5HDHQNQ	7316-475	30.61	15.92	0	NA	NA	NA
BS_9RT63JD9	PT_AEDWCP8Z	7316-851	32.17	11.71	0	NA	NA	NA
BS_9SJWWYQ4	PT_3CVMBGD7	7316-1963	50.07	14.77	0	NA	NA	NA
BS_9V633J1X	PT_BTTM2HS5	7316-2287	53.39	17.2	0.2	NA	NA	NA
BS_9XVACXP0	PT_387VK1T9	7316-3625	64.78	16.58	0.01	NA	NA	NA
BS_9XWJ88Q1	PT_DEKWG1QG	7316-2139	28.67	9.95	0	NA	NA	NA
BS_A0DYVX9J	PT_QDGVJKE0	7316-2140	20.36	22.52	0.01	NA	NA	NA
BS_A13BMEF5	PT_TB8HPJBN	7316-2663	49.21	15.34	0	NA	NA	NA
BS_A14Z8BBK	PT_G1QNGVCZ	7316-1118	77.79	10.45	0.18	NA	NA	NA
BS_A1VEGWTR	PT_5ABCFCSK	7316-1851	45.78	13.51	0.1	NA	NA	NA
BS_A3QZB9Y2	PT_HT4HJXY6	7316-901	37.9	12.57	0	NA	NA	NA
BS_A46RDWGM	PT_K6G6BE6G	7316-1113	41.32	17.04	0	NA	NA	NA
BS_A7MC2KR2	PT_S2ASFBP7	7316-2157	34.67	22.16	0	NA	NA	NA
BS_A7Q8G0Y1	PT_PR4YBBH3	7316-126	46.35	15.08	0.25	NA	NA	NA
BS_A87NPZAP	PT_X1XVE1XX	7316-3511	67.51	16.66	0.69	NA	NA	NA
BS_A89VAPVV	PT_A4KA01ZH	7316-894	44.2	17.3	0.23	NA	NA	NA
BS_AA164D3A	PT_GCXG7800	7316-2720	21.72	25.06	0.01	NA	NA	NA
BS_ABYF92Z9	PT_6MB6RED3	7316-226	43.91	15.63	0.01	NA	NA	NA
BS_AD4JPN9Q	PT_17W3GJPT	7316-2306	38.12	15.51	0.01	NA	NA	NA
BS_AG3D3435	PT_7YSCM82T	7316-1658	44.45	15.49	0.06	NA	NA	NA
BS_AG4H9S3J	PT_NFDHYPGT	7316-3152	34.9	15.05	0	NA	NA	NA
BS_AGS1HHGF	PT_HN0AXSZ0	7316-1103	37.37	11.72	0	NA	NA	NA
BS_AGTPCRR4	PT_TS0H697Y	7316-394	30.93	14.26	0.1	NA	NA	NA
BS_AHEFXG7W	PT_VY45XTT7	7316-1801	46.61	14.34	0.61	NA	NA	NA
BS_AJ6X83G5	PT_TRXF649Z	7316-915	47.21	8.69	0.01	NA	NA	NA
BS_AKRHBPNZ	PT_3NM45TQ8	7316-1077	38.87	11.66	0.01	NA	NA	NA
BS_AM70R8RG	PT_PABK01H0	7316-1669	61.86	25.41	1.56	NA	NA	NA
BS_AMQGM1V9	PT_J3B812DT	7316-123	56.29	9.97	0.01	NA	NA	NA
BS_AMZ70B6F	PT_3VQEVNDD	7316-1680	54.01	22.16	0.14	NA	NA	NA
BS_AP0SZ364	PT_PGVQ4XRZ	7316-946	46.9	13.3	0.02	NA	NA	NA
BS_ARBQDTT5	PT_9M4CQX3M	7316-1972	58.05	10.02	0.01	NA	NA	NA
BS_ARFQ1WG3	PT_8GW4J4TD	7316-3630	38.74	18.37	0	NA	NA	NA
BS_AVYNZHSB	PT_S7WJ99PC	7316-677	44.2	14.55	0	NA	NA	NA
BS_AWH9757B	PT_59FJRPVX	7316-3769	44.94	13.99	0.34	NA	NA	NA
BS_AZN38B7V	PT_ZCXS29JJ	7316-2153	11.6	10.96	0	NA	NA	NA
BS_B0SVFK4P	PT_RRT2E7HK	7316-136	29.3	48.56	0.01	NA	NA	NA
BS_B1C6GZ84	PT_2QZJ4T95	7316-715	51.92	21.21	0.7	NA	NA	NA
BS_B1HVNV0T	PT_FYECBRPP	7316-1778	51.52	10.19	0	NA	NA	NA
BS_B24PKKQB	PT_596H0BQF	7316-498	20.04	8	0	NA	NA	NA
BS_B3M5SGPA	PT_4XVA57J7	7316-1760	27.8	19.39	0	NA	NA	NA
BS_B53Z0T1Q	PT_7RMS6K08	7316-1748	40.03	15.07	0	NA	NA	NA
BS_B61168DE	PT_1NN9AW39	7316-3148	16.15	20.09	0.01	NA	NA	NA
BS_B6M763JS	PT_QT3MK7BZ	7316-1977	40.19	15.58	0	NA	NA	NA
BS_B741RZY9	PT_ZS2YDFBE	7316-2860	35.25	10.07	0	NA	NA	NA
BS_B7GEH89C	PT_H57TEQDT	7316-2324	33.77	16.32	0	NA	NA	NA
BS_B7QS4DHK	PT_S4YNE17X	7316-4341	25.8	17.3	0.01	NA	NA	NA
BS_B7X8VXQ3	PT_FAD8FQ6S	7316-120	53.2	9.38	0	NA	NA	NA
BS_B8T7M0WV	PT_R1N5M7NH	7316-3557	35.86	12.26	0	NA	NA	NA
BS_B9V8RGTA	PT_J50NZYZF	7316-956	50.47	16.07	0.55	NA	NA	NA
BS_BA6AZWB3	PT_YV2S3ES7	7316-182	58.72	16.35	1.39	NA	NA	NA
BS_BB0YW800	PT_XCX9W17B	7316-19	23.5	8.63	0	NA	NA	NA
BS_BC936YNZ	PT_KHX1WQ4H	7316-186	49.23	15.74	0	NA	NA	NA
BS_BHR08WGW	PT_6TZR2DH1	7316-100	36.31	17.71	0	NA	NA	NA
BS_BJDNWMJH	PT_KVFS3Z2Q	7316-1955	54.41	12.74	0	NA	NA	NA
BS_BKQZ550R	PT_41WETNRC	7316-3065	35.49	15.63	0.01	NA	NA	NA
BS_BKR4E30C	PT_E3S6H59E	7316-133	27.54	15.29	0	NA	NA	NA
BS_BMMY0H73	PT_X5TQR8V2	7316-343	5.76	25.34	0	NA	NA	NA
BS_BN986DF6	PT_PFA762TK	7316-368	38.21	16.37	0	NA	NA	NA
BS_BPSTSCBJ	PT_ATE3YRH5	7316-3308	48.39	16.59	0.02	NA	NA	NA
BS_BPWEFR89	PT_FN4GEEFR	7316-729	61.89	17.74	1.31	NA	NA	NA
BS_BSV07M7Z	PT_PX4E85V1	7316-1083	56.88	21.85	0.02	NA	NA	NA
BS_BVSW4GTG	PT_DACV00WF	7316-489	68.08	22.48	0.08	NA	NA	NA
BS_BWBDH9GM	PT_JNEV57VK	7316-3058	27.16	21.77	0	NA	NA	NA
BS_BXXJ9P8C	PT_Y97DX151	7316-291	35.97	16.61	0	NA	NA	NA
BS_BYCX6VK1	PT_3AWKWXEV	7316-85	19.81	34.36	0	NA	NA	NA
BS_C05FKR8X	PT_ZWY04DCR	7316-2666	22.35	22.98	0.17	NA	NA	NA
BS_C0XFDP38	PT_NH8CJ84W	7316-164	18.86	12.98	0	NA	NA	NA
BS_C3P5BC92	PT_T2M1338J	7316-258	16.11	18.32	0	NA	NA	NA
BS_C41DJZ1F	PT_30H1KV15	7316-1059	22.19	19.13	0.01	NA	NA	NA
BS_C51RB0YR	PT_DMMKT7X1	7316-1635	43.76	14.49	0	NA	NA	NA
BS_C6SKJG3N	PT_XDV8W16W	7316-3751	41.87	11.85	0	NA	NA	NA
BS_C6ZZ3FY5	PT_X71D7G5S	7316-1105	16.76	11.47	0	NA	NA	NA
BS_C7A2TYAC	PT_JXGMAHHN	7316-874	46.91	16.72	0	NA	NA	NA
BS_C7N3J4NW	PT_KDW5HHWQ	7316-2237	32.35	10.88	0.16	NA	NA	NA
BS_C80S5N37	PT_K2YDNZDA	7316-429	42.44	9.87	0	NA	NA	NA
BS_C83TK159	PT_1AAYYGGY	A14709	21.15	15.9	0.02	NA	NA	NA
BS_CB6VK7PB	PT_JMW6Q6NH	7316-1648	48.35	17.04	0	NA	NA	NA
BS_CGB2WS2A	PT_VJ0M4E8Y	7316-2099	40.31	12.81	0	NA	NA	NA
BS_CHDGRYHJ	PT_82MX6J77	7316-302	34.76	22.84	0.6	NA	NA	NA
BS_CQEETJ66	PT_NXX0M835	7316-948	42.35	16.92	0	NA	NA	NA
BS_CQSAJ7BF	PT_GPQJYAW4	7316-1750	50.89	9.66	0.17	NA	NA	NA
BS_CREQ97QC	PT_BCN28SW9	7316-3574	47.85	9.63	0.02	NA	NA	NA
BS_CS170P7T	PT_GQDHZFJP	7316-265	44.74	19.56	0	NA	NA	NA
BS_CS66RYDA	PT_S4YNE17X	7316-3963	21.42	13.93	0	NA	NA	NA
BS_CTR5X93B	PT_XNMKQ4MR	7316-2006	48.96	12.85	0	NA	NA	NA
BS_CVGFNCBJ	PT_CB9PD1YP	7316-97	30.3	14.22	0.01	NA	NA	NA
BS_CW9QV8AG	PT_ZZ8SBJJ5	7316-725	36.09	10.67	0	NA	NA	NA
BS_CXVGG342	PT_2WVW55DA	7316-2100	16.31	20.68	0	NA	NA	NA
BS_CXVJK2FY	PT_CYVVA9AB	7316-3299	20.46	19.05	0.12	NA	NA	NA
BS_CYEY58NY	PT_BDM0M83S	7316-3072	62.75	11.15	0.1	NA	NA	NA
BS_CZ3ER8DY	PT_ECMZCNTF	7316-736	30.37	12.47	0.17	NA	NA	NA
BS_CZ3NA7KV	PT_B5K3A4F4	7316-1214	37.73	17.04	0.08	NA	NA	NA
BS_CZ82ANWP	PT_868QRW9G	7316-3132	70.51	22.43	0.15	NA	NA	NA
BS_D0BGESQF	PT_ZN1F7RMP	7316-1080	23.14	9.43	0	NA	NA	NA
BS_D0RDN4K5	PT_FF0MSK4D	7316-2987	58.79	41.69	0.2	NA	NA	NA
BS_D144EJRQ	PT_V8714N9H	7316-2322	71.5	12.97	0.43	NA	NA	NA
BS_D29RPBSZ	PT_JNEV57VK	7316-3058	36.14	21.14	0.17	NA	NA	NA
BS_D2K9C7XR	PT_N673SYWW	7316-1751	55.13	20.12	0.72	NA	NA	NA
BS_D3YBV7KB	PT_NPPBNRVV	7316-1943	33.47	12.88	0	NA	NA	NA
BS_D4PJYHZ2	PT_9ZY739FB	7316-170	11.44	9.56	0	NA	NA	NA
BS_D5NQV7N5	PT_VT6PJVQN	7316-205	16.36	8.25	0.01	NA	NA	NA
BS_D5P6EZ1M	PT_WVAJN6WR	7316-456	46.53	15.73	0	NA	NA	NA
BS_D7XRFE0R	PT_RYMG3M91	A18777	52.36	27.19	2.29	NA	NA	NA
BS_D8N31T39	PT_2WVW55DA	7316-502	38.92	27.05	0	NA	NA	NA
BS_D9GEXXHX	PT_AQWDQW27	7316-1705	26.73	13.6	0	NA	NA	NA
BS_DBDXCXT5	PT_HFQNKP5X	7316-4062	32.01	9.76	0.79	NA	NA	NA
BS_DBEX7AG2	PT_38FS37DP	7316-2686	45.01	72.07	2.43	NA	NA	NA
BS_DEHJF4C7	PT_PFP1ZVHD	7316-2310	31.03	16.06	0.06	NA	NA	NA
BS_DFGS950G	PT_JJ8QNAM8	7316-714	26.15	22.77	0.73	NA	NA	NA
BS_DFWFBYSN	PT_RJ98S3KZ	7316-556	72.67	19.4	0.04	NA	NA	NA
BS_DGTPWJ59	PT_X8SK8120	7316-340	55.87	15.15	0	NA	NA	NA
BS_DHA5FMVW	PT_ND34A6PR	7316-122	50.78	27.87	0.79	NA	NA	NA
BS_DMZP9G1H	PT_2ZXR2PDN	7316-1636	44.04	9.41	0.01	NA	NA	NA
BS_DPF1CX0G	PT_ZVV78QP5	7316-117	49.4	15.28	0	NA	NA	NA
BS_DRD9QXR5	PT_MQHST8YC	7316-3316	27.95	13.33	0.01	NA	NA	NA
BS_DRY58DTF	PT_Z4PJA6KT	7316-1763	25.18	16.64	0	NA	NA	NA
BS_DS438CXE	PT_0DXHDZJR	7316-2857	48.3	18.56	0.01	NA	NA	NA
BS_DSS3S5XD	PT_SDK91A16	7316-247	34.96	17.92	0.07	NA	NA	NA
BS_DV86M0Y7	PT_2Z7GVDTM	7316-3515	46.97	11.59	0.01	NA	NA	NA
BS_DVCQ8XDZ	PT_0RN3VSXZ	7316-3073	36.72	10.94	0	NA	NA	NA
BS_DY88N5ZT	PT_DFCZAG9T	7316-224	54.45	20.18	0.72	NA	NA	NA
BS_DY9NTFQR	PT_XP8AM1CH	7316-1096	40.96	10.19	0	NA	NA	NA
BS_E054DFJN	PT_7T13FDWK	7316-1082	19.16	12.91	0	NA	NA	NA
BS_E0N3PTPN	PT_1H2REHT2	7316-2990	45.69	14.77	0	NA	NA	NA
BS_E1CGF3KV	PT_2PRV78FX	7316-176	37.62	16.29	0.01	NA	NA	NA
BS_E2Z940S4	PT_QH9H491G	7316-1461	38.49	16.91	0	NA	NA	NA
BS_E3BAT4C1	PT_F3S9PB94	7316-2240	52.01	15.5	0.12	NA	NA	NA
BS_E3EJHXQV	PT_0CE0HFYB	7316-2581	32.12	16.52	0	NA	NA	NA
BS_E4F1D721	PT_1DY2TP9N	7316-1786	32.58	15.16	0	NA	NA	NA
BS_E4GC9EXR	PT_W6AWJJK7	7316-893	43.72	14.56	0.01	NA	NA	NA
BS_E4QK839R	PT_VZTTTP3Q	7316-167	27.88	14.73	0	NA	NA	NA
BS_E60JZ9Z3	PT_Z4PJA6KT	7316-1763	33.96	27.8	0.05	NA	NA	NA
BS_E94QRJDW	PT_20ZM6THA	7316-3629	46.8	14.68	0	NA	NA	NA
BS_EBMCTR80	PT_8R00BMHH	7316-1845	70.7	14.36	0	NA	NA	NA
BS_EF775B3K	PT_XNTFM9XY	7316-92	48.87	10.47	0.01	NA	NA	NA
BS_EFE4YEK3	PT_RH59ET3M	7316-1655	79.72	16.71	0.01	NA	NA	NA
BS_EFEZB0ZH	PT_DW6V5V8E	7316-924	35.82	13.6	0	NA	NA	NA
BS_EHVYJAVA	PT_GHHY5AAE	7316-741	41.41	13.93	0	NA	NA	NA
BS_EJ9JKM1C	PT_HFQNKP5X	7316-3295	30.2	13.83	0.27	NA	NA	NA
BS_EK5PCKY0	PT_GFTCNWQ0	7316-775	20.32	9.54	0.07	NA	NA	NA
BS_EMMF4PZX	PT_BZKJR4GK	7316-561	31.66	13.18	0.01	NA	NA	NA
BS_EMYET8F4	PT_7H67Q7VS	7316-2966	50.46	13.77	0.09	NA	NA	NA
BS_EN2VK7NY	PT_Y572BRC1	7316-2147	33.36	17.93	0	NA	NA	NA
BS_ENKG5GF3	PT_KCTZZA3G	7316-223	26.72	14.25	0.04	NA	NA	NA
BS_ERJAJ0KA	PT_DXF7ZZQZ	7316-2809	42.4	14.8	0.05	NA	NA	NA
BS_ERWT0ZWE	PT_7BJBEBZT	7316-1670	42.27	19.71	0.28	NA	NA	NA
BS_ET8CJXSF	PT_VGXHFMND	7316-1643	68.4	12.43	0	NA	NA	NA
BS_EVCAC3NH	PT_Z4GS3ZQQ	7316-740	57.53	10.98	0	NA	NA	NA
BS_EXGBH3TD	PT_T1FV709B	7316-681	45.63	12.4	0.01	NA	NA	NA
BS_EXYHZ6D4	PT_2YCHME6S	7316-2622	19.67	21.74	0	NA	NA	NA
BS_EYSS0ZDS	PT_CM32ZCX6	7316-2215	37.95	16.35	0	NA	NA	NA
BS_EYYMKWB7	PT_E79807KT	7316-1087	38.78	15.94	0	NA	NA	NA
BS_EZ3147MX	PT_KAQMYFYB	A16405	37.24	28.31	0.06	NA	NA	NA
BS_F0JB4EAK	PT_KBFM551M	7316-3214-A07083	11.4	16.45	0.05	NA	NA	NA
BS_F4E8R9VY	PT_8ECE2D92	7316-914	39.28	13.26	0	NA	NA	NA
BS_F5BZSF3Q	PT_D13X3N8F	7316-2743	32.64	14.72	0.07	NA	NA	NA
BS_F6V1Y4QS	PT_Z7YJ7MSM	7316-2864	41.58	27.92	0	NA	NA	NA
BS_F6Z5HFWH	PT_JN3S17B3	7316-1693	48.5	9.16	0	NA	NA	NA
BS_F8N6CFQE	PT_EZEMVRVT	7316-3154	41.81	16.22	0	NA	NA	NA
BS_F9WKPDFG	PT_203ZY782	7316-2668	13.16	2.76	0	NA	NA	NA
BS_FAQQ0GCQ	PT_EPFX7V9H	7316-2571	43.92	15.34	0.01	NA	NA	NA
BS_FAVRBEW7	PT_WYVMWYVA	7316-257	23.13	6.63	0	NA	NA	NA
BS_FBJ5Q54N	PT_FMK5VFYW	7316-950	53.8	21.64	0	NA	NA	NA
BS_FCAKKZ20	PT_9S6WMQ92	7316-95	74.96	15.03	1.54	NA	NA	NA
BS_FCDAH728	PT_KZ56XHJT	A08732	19.81	44.93	0.12	NA	NA	NA
BS_FEPRNEXX	PT_00G007DM	7316-2577	62.43	8.44	0	NA	NA	NA
BS_FEV5A0HN	PT_6SH7PV1N	7316-535	95.42	16.93	0	NA	NA	NA
BS_FEYMKEK8	PT_13MKXR8G	7316-2251	44.41	6.76	0	NA	NA	NA
BS_FJWZ3M7V	PT_X1PRY0FC	7316-1779	34.21	13.86	0	NA	NA	NA
BS_FJZPQZ2C	PT_3T3VGWC6	7316-3923	24.21	10.42	0.01	NA	NA	NA
BS_FKDQJJB5	PT_YFS3AWC0	7316-153	60.58	26.89	0.94	NA	NA	NA
BS_FN07P04C	PT_X7HC5YCY	7316-255	56.15	20.64	1.68	NA	NA	NA
BS_FQX1PRAJ	PT_K8ZV7APT	7316-2166	37.4	12.74	0	NA	NA	NA
BS_FRM9TG02	PT_3P3D97AB	7316-13	33.36	10.12	0	NA	NA	NA
BS_FRZ76GEG	PT_2BTC5TEN	7316-2183	41.12	18.74	0	NA	NA	NA
BS_FTKPQ5FZ	PT_VR8T8JX8	7316-762	53.39	13.46	0.7	NA	NA	NA
BS_FW5ECXXK	PT_3C6QA9MA	7316-1279	33.68	9.76	0.78	NA	NA	NA
BS_FWMJPKCV	PT_7VPSS2SN	7316-3621	59.29	17.1	0	NA	NA	NA
BS_FX2P2WEG	PT_0SPKM4S8	7316-2640	41.18	28.04	0.05	NA	NA	NA
BS_FXJY0MNH	PT_8P368R5B	7316-4998	33.45	15.54	0.06	NA	NA	NA
BS_FYRDYBMZ	PT_ARCM3PXM	7316-1187	25.93	12.33	0.01	NA	NA	NA
BS_G00FHF3Q	PT_TKWTTRQ7	7316-2971	80.41	22.12	0.02	NA	NA	NA
BS_G1Y281HX	PT_P1290MMP	7316-125	22.5	10.41	0.06	NA	NA	NA
BS_G23JJAZY	PT_23K3YS1P	7316-189	42.05	11.98	0.02	NA	NA	NA
BS_G3NN392N	PT_QA9WJ679	A08768	0.79	15.66	0.01	NA	NA	NA
BS_G3RJTBZD	PT_3CHB9PK5	7316-2085	20.87	22.59	0	NA	NA	NA
BS_G5QBBHDV	PT_27FDWCVZ	7316-184	29.77	31.84	0.01	NA	NA	NA
BS_G63HYD6N	PT_PKP1250P	7316-2556	34.22	16.68	0.26	NA	NA	NA
BS_G7AGNB5G	PT_EYHJQQ8E	7316-77	66.69	16.96	0	NA	NA	NA
BS_G9XE3N9T	PT_2VSDT9CK	7316-3575	50.68	13.22	0.01	NA	NA	NA
BS_GAGRGSSX	PT_4J24F353	7316-1137	36.71	18.53	0.97	NA	NA	NA
BS_GC3CH9TY	PT_EJ8TKG2Z	7316-3571	27.69	14.04	0.01	NA	NA	NA
BS_GCA4GET3	PT_6TKJRSPW	7316-162	53.43	13.49	0	NA	NA	NA
BS_GCQFGDTX	PT_PJSV0X4X	7316-843	57.93	23.06	3.09	NA	NA	NA
BS_GDHH6T5A	PT_K8ZV7APT	7316-10	17.65	10.01	0.01	NA	NA	NA
BS_GE2RVZE6	PT_TKWTTRQ7	7316-407	73.99	26.61	0.13	NA	NA	NA
BS_GFM6EA61	PT_HFQNKP5X	7316-921	24.25	10.99	0.05	NA	NA	NA
BS_GG9W3J9Y	PT_J5NSRW1Y	7316-3817	32.44	12.97	0.89	NA	NA	NA
BS_GHNJ4CYC	PT_1J2DT6MM	7316-2184	39.98	13.58	0	NA	NA	NA
BS_GJNCYABP	PT_7MZRW1DH	7316-2582	25.77	16.13	0.02	NA	NA	NA
BS_GM9Y3AZ5	PT_P4GDWHXA	7316-477	5.64	1.72	0.01	NA	NA	NA
BS_GMDQK06Q	PT_FAQWD7GX	7316-2311	32.12	15.18	0	NA	NA	NA
