Tumor_Sample_Barcode	mut_count	TMB Coding	alt final	atrx_mut	log2_mut_count
BS_CGXTFM67	15	0.13998778914512844	NEG	non_ATRX_mut	3.9068905956085187
BS_S0T3CQ97	293	7.7553235186401155	POS	ATRX_mut	8.194756854422248
BS_TRGECFNP	44	1.1199023131610275	NEG	ATRX_mut	5.459431618637297
BS_85Q5P8GF	192	4.731587273105341	POS	ATRX_mut	7.584962500721156
BS_3E5C1PN1	22	0.5319535987514881	NEG	ATRX_mut	4.459431618637297
BS_3BMGF6GN	60	1.0079120818449248	NEG	non_ATRX_mut	5.906890595608519
BS_R6CKWZW6	20	0.4759584830934367	POS	ATRX_mut	4.321928094887363
BS_3NX3RBCX	37	0.9239194083578476	POS	non_ATRX_mut	5.20945336562895
BS_CBMAWSAR	22	0.5039560409224624	NEG	non_ATRX_mut	4.459431618637297
BS_872Q3FK2	91	2.2118070684930293	NEG	ATRX_mut	6.507794640198696
BS_JB3J82ZK	74	1.6518559119125156	POS	non_ATRX_mut	6.20945336562895
BS_M5FM63EB	25	0.5879487144095394	NEG	non_ATRX_mut	4.643856189774724
BS_WPCBK1EG	28	0.6439438300675908	NEG	non_ATRX_mut	4.807354922057604
BS_EPM623G4	49	1.1478998709900532	POS	ATRX_mut	5.614709844115208
BS_BQ81D2BP	11	0.2239804626322055	NEG	non_ATRX_mut	3.4594316186372973
BS_D6XHKZDZ	4	0.08399267348707706	NEG	non_ATRX_mut	2
BS_ABZ3BK38	36	0.7279365035546679	NEG	non_ATRX_mut	5.169925001442312
BS_MW63FCZC	15	0.2799755782902569	NEG	non_ATRX_mut	3.9068905956085187
BS_H0638GZT	27	0.6159462722385651	POS	non_ATRX_mut	4.754887502163468
BS_EJV0N3BX	38	0.895921850528822	POS	ATRX_mut	5.247927513443585
BS_1S5V7WWC	27	0.6159462722385651	NEG	non_ATRX_mut	4.754887502163468
BS_1M63B97V	66	1.791843701057644	NEG	non_ATRX_mut	6.044394119358453
BS_9DM8H1RX	8	0.16798534697415413	NEG	non_ATRX_mut	3
BS_80078QDG	64	1.5398656805964128	POS	ATRX_mut	6
BS_79NQJZ09	28	0.6719413878966165	NEG	non_ATRX_mut	4.807354922057604
BS_KAD49R68	30	0.7279365035546679	POS	non_ATRX_mut	4.906890595608519
BS_928HWFFM	188	1.7638461432286183	POS	ATRX_mut	7.554588851677638
BS_P8WN8XEQ	158	3.6116849599443137	POS	ATRX_mut	7.303780748177103
BS_230S192D	35	0.8399267348707706	POS	ATRX_mut	5.129283016944966
BS_YB99Q6TN	14	0.36396825177733394	NEG	non_ATRX_mut	3.807354922057604
BS_BFDEZK1C	26	0.6439438300675908	NEG	non_ATRX_mut	4.700439718141092
BS_C19DFVR5	20	0.5039560409224624	POS	ATRX_mut	4.321928094887363
BS_742CDKAS	76	1.959829048031798	NEG	non_ATRX_mut	6.247927513443585
BS_79SYEHY3	94	2.491782646783286	POS	non_ATRX_mut	6.554588851677638
BS_M4E4H6NG	41	1.0079120818449248	NEG	non_ATRX_mut	5.357552004618084
BS_KSHETTQC	2	0.02799755782902568	NEG	non_ATRX_mut	1
BS_8FSJDG2T	28	0.5879487144095394	NEG	non_ATRX_mut	4.807354922057604
BS_AFAHY6HP	26	0.4199633674353853	NEG	non_ATRX_mut	4.700439718141092
BS_Q6GVRAWK	8	0.16798534697415413	NEG	non_ATRX_mut	3
BS_TQ0J7WJQ	19	0.3919658096063596	POS	ATRX_mut	4.247927513443585
BS_3Z40EZHD	18	0.30797313611928256	NEG	non_ATRX_mut	4.169925001442312
BS_FKQ7F6D1	34	0.8119291770417449	POS	ATRX_mut	5.087462841250339
BS_SK4H5MJQ	32	0.895921850528822	NEG	non_ATRX_mut	5
BS_YHXMYDBN	42	1.063907197502976	NEG	non_ATRX_mut	5.392317422778761
BS_1MME7FBS	24	0.6159462722385651	POS	ATRX_mut	4.584962500721156
BS_EP25TTAG	43	1.0079120818449248	POS	ATRX_mut	5.426264754702098
BS_ZCY4ECNV	26	0.5039560409224624	POS	non_ATRX_mut	4.700439718141092
BS_PPY0EWPG	36	0.6159462722385651	NEG	non_ATRX_mut	5.169925001442312
BS_P4K6WK9Y	72	1.707851027570567	NEG	non_ATRX_mut	6.169925001442312
BS_KHSYAB3J	46	1.2318925444771305	POS	ATRX_mut	5.523561956057013
BS_WJB33V17	12	0.2799755782902569	NEG	non_ATRX_mut	3.584962500721156
BS_W2QCHQ7E	31	0.6439438300675908	NEG	non_ATRX_mut	4.954196310386875
BS_7GKF6M85	25	0.5039560409224624	NEG	non_ATRX_mut	4.643856189774724
BS_B9QP40ER	14	0.2239804626322055	POS	ATRX_mut	3.807354922057604
BS_FK3B5SDH	8	0.11199023131610276	NEG	non_ATRX_mut	3
BS_7PF3C1P7	16	0.1959829048031798	POS	non_ATRX_mut	4
BS_G9MQM1KK	26	0.6439438300675908	POS	non_ATRX_mut	4.700439718141092
BS_F064HMTP	6	0.05599511565805137	NEG	non_ATRX_mut	2.584962500721156
BS_S791VC80	90	2.1278143950059523	NEG	non_ATRX_mut	6.491853096329675
BS_KXGJ1HMG	16	0.4199633674353853	NEG	non_ATRX_mut	4
BS_F8K4VQMF	29	0.6999389457256422	NEG	non_ATRX_mut	4.857980995127572
BS_XGVSX8BX	26	0.6159462722385651	NEG	non_ATRX_mut	4.700439718141092
BS_RG6JK7ZN	15	0.36396825177733394	POS	ATRX_mut	3.9068905956085187
BS_R1G6SG0K	28	0.6159462722385651	NEG	non_ATRX_mut	4.807354922057604
BS_STNH7YSX	30	0.6719413878966165	POS	non_ATRX_mut	4.906890595608519
BS_23ZE42Q3	29	0.7279365035546679	POS	non_ATRX_mut	4.857980995127572
BS_KYPMZZSY	36	0.6719413878966165	POS	non_ATRX_mut	5.169925001442312
BS_T7WMJ08W	14	0.30797313611928256	NEG	non_ATRX_mut	3.807354922057604
BS_DH86PF5A	27	0.5879487144095394	NEG	non_ATRX_mut	4.754887502163468
BS_MSB1RDAJ	16	0.36396825177733394	NEG	non_ATRX_mut	4
BS_E42SSQGJ	6	0.08399267348707706	NEG	non_ATRX_mut	2.584962500721156
BS_SKRY0BJ4	18	0.08399267348707706	NEG	non_ATRX_mut	4.169925001442312
BS_NNFDFAFM	20	0.3919658096063596	POS	non_ATRX_mut	4.321928094887363
BS_AYPBAHJ6	30	0.5319535987514881	NEG	non_ATRX_mut	4.906890595608519
BS_WJF6ZXWN	14	0.2799755782902569	NEG	non_ATRX_mut	3.807354922057604
BS_823V5X6Z	12	0.2519780204612312	NEG	non_ATRX_mut	3.584962500721156
BS_1YTHM07J	7	0.02799755782902568	NEG	non_ATRX_mut	2.807354922057604
BS_GKPVZXYP	20	0.36396825177733394	NEG	non_ATRX_mut	4.321928094887363
BS_HJ95JNFN	6	0.08399267348707706	POS	non_ATRX_mut	2.584962500721156
BS_QWS88QXE	3	0.02799755782902568	NEG	non_ATRX_mut	1.584962500721156
BS_NJFK43N3	3	0.02799755782902568	NEG	non_ATRX_mut	1.584962500721156
