rowname	ATRX_fpkm	TERT_fpkm	DAXX_fpkm
BS_N6N147BY	35.93	0.45	16.01
BS_KBT7MQ6H	54.41	0.53	16.61
BS_KDSTG5YY	40.56	0.65	17.23
BS_KE56MMY0	38.55	20.08	48.37
BS_KEA474HN	35.4	0.01	14.85
BS_KF0ZXDER	39.73	0	8.82
BS_KK0JWATQ	18.39	0	19.8
BS_KK5C8VCK	19.18	0	7.58
BS_YNEQJ6AH	61.81	0	14.5
BS_KND4B5CW	48.46	0.01	18.03
BS_MF47B9ZW	29.1	0.02	12.65
BS_KR4MP5ET	23.22	0	10.6
BS_KSKZ9J7J	43.69	0.11	13.98
BS_NNPEC7W1	33.42	0	17.32
BS_KVAJYZ6F	39.9	0	8.13
BS_KX6J8TRK	26.9	0.02	12.76
BS_KXCY5BN5	46.39	0.38	19.05
BS_ZZPBANDD	61.87	0.01	10.99
BS_KXMYBQ6N	34.53	0	16.89
BS_NR3P3GN2	33.32	0.26	13.99
BS_P0QF87WC	32.45	0.11	20.39
BS_M026T44Q	26.42	0	11.48
BS_M1T1K5WV	25.35	0.12	9.24
BS_ZR96A4FH	31.04	0.01	7.4
BS_M4923M40	50.45	2.39	31.45
BS_M4TTKPNR	33.66	0.01	12.25
BS_P9JP6JFA	31.02	0.01	27
BS_PGK832G2	26.12	0	17.22
BS_PKW05VZV	43.51	0	10.6
BS_M7QJ8VF0	23.98	9.62	7.96
BS_PNYN0AYD	39.09	0.01	16.65
BS_M8M56Z4Y	44.84	0	12.96
BS_M8WP5T16	29.86	0	14.52
BS_M9C4RY4P	48.83	0	12.54
BS_39CGACC7	27.99	0	9.46
BS_MA2T7ET1	23.01	0	14.91
BS_MBSTWZA6	38.86	0	13.96
BS_MD3DT41J	31.49	0.48	14.99
BS_PQVTB6BB	52.97	0.11	22.05
BS_NT9NZYFD	33.29	0	9.56
BS_MF9X3PKH	48.18	0	13.46
BS_MGAMKKBD	17.85	0.03	12.98
BS_MKP2Y41Z	32.24	0	13.82
BS_MM20BVW9	36.06	0	14.01
BS_MMNRZ1EQ	38.15	3.14	13.83
BS_MQCKXD60	32.29	0.14	42.73
BS_PZVHMSYN	19.52	0.01	13.18
BS_MT15SGJN	27.88	0.04	7.76
BS_MV6ASWV9	83.41	0.02	22.8
BS_MVW01FPB	57.42	0.31	16.46
BS_4W1DBAN4	44.85	0	11.49
BS_Q13FQ8FV	24.39	0	17.02
BS_QB84TBA3	49.47	0.06	35.79
BS_MY9D8XZ1	43.86	0	10.68
BS_N0877CX1	71.53	1.11	24.4
BS_N1E0H8YQ	22.8	0	22.52
BS_N210XMKR	41.82	0	22.57
BS_P277RYX5	62.41	0	9.85
BS_N5B2CZMH	29.27	0.01	13.75
BS_N5DVEJXT	34.56	1.66	21.19
BS_N6NE6B3W	64.08	0	11.29
BS_N8J1DP02	30.16	0	12.84
BS_PQ6QEVE8	31.52	0	13.94
BS_NB42PWZN	63.45	1.88	20.25
BS_PQ7CQFYR	21.56	0.01	17.6
BS_NB5XWMJT	31.5	0	14.37
BS_NDC69214	23.41	0	14.56
BS_NDFDQBCZ	20.24	0.12	20.23
BS_NDN62H0S	24.3	0.01	10.12
BS_NDRDM2A9	37.4	0	12.91
BS_QF5VVZX5	47.32	0.02	9.6
BS_QV51J756	39.33	0.02	12.36
BS_NGHK9RZP	34.62	1.35	20.23
BS_NGY0TE6S	40.59	0.03	22.66
BS_NH7K4CD9	57.16	0.06	13.23
BS_RGSMX7QD	39.14	0	10.53
BS_NJ4WPQVK	9.99	0	22.6
BS_QWTE1CWR	15.21	0	21.12
BS_QYPHA40N	60.2	0	13.36
BS_NPQJ20KX	32.2	0	15.68
BS_NQB91P48	38.68	0	16.02
BS_NQFH3GZH	50.2	0.08	8.66
BS_R5SNFB5B	43.7	0.29	12.25
BS_NR9FRY5T	42.85	0	16.71
BS_NRFQEQKP	48.19	0	16.97
BS_NRPG5K4K	46.59	0	15.74
BS_NS7GSHB9	43	0	15
BS_RVSEDNJ4	47.53	0	17.12
BS_60K3EQ9S	36.53	0	15.86
BS_NYS8TRCB	34.6	0	13.25
BS_P0W5VJH4	7.57	0	3.6
BS_S9929Z8B	31.25	0	15.13
BS_P39SQPTS	32.45	0.93	26.22
BS_P4D8Y3S8	26.9	0.31	16.51
BS_RCCN63K6	36.68	0	26.98
BS_P78SMRBS	14.44	0	5.58
BS_P7EY9DXG	33.89	0.28	23.51
BS_RXN5T5YT	25.4	0.13	21.65
BS_PEP9NZXN	50.54	0.01	13.52
BS_PGHK1JRW	43.69	1.19	15.24
BS_PJPGVD62	17.51	0	27.77
BS_PK18H7E7	41.63	0.01	14.13
BS_PKK3BZRG	72.88	0	5.52
BS_PN2CE34A	40.44	0.19	33.51
BS_S2TA8R29	41.55	0.08	15.19
BS_S5P8VTN5	42.04	0	21.59
BS_S6S7SK3P	54.39	0	13.19
BS_PRAEF32W	47.07	0	15.07
BS_PRR8K9GE	53.12	0.01	23.25
BS_PSNBFWQV	59.1	0.33	25.01
BS_PSW27ZTE	43.92	0.01	13.07
BS_SD8YBRBR	57.02	13.67	56.44
BS_AG4H9S3J	34.9	0	15.05
BS_Q2T9ZRM0	25.27	0	9.23
BS_Q3TBCK4V	45.58	0	16.86
BS_Q5WZYWCT	57.57	0.02	8.04
BS_Q79NP5YY	41.49	0	11.24
BS_Q9V7A95C	41.59	0.04	14.53
BS_QAG1RDXN	43.49	0.01	12.36
BS_QB7YGKN1	59.7	0.01	16.18
BS_T1YHK6B7	31.64	0.36	22.89
BS_QBR4WCQ2	31.21	0	13.78
BS_QC3XCE6X	40.58	0.01	11.43
BS_TG93XC55	46.95	0.04	10.72
BS_QH82PBMB	39.13	0	13.19
BS_QHS3V0GP	73.3	1.03	42.38
BS_QNAQGAV6	41.32	0.01	10.7
BS_QP6MSKRE	25.7	0.02	19.75
BS_QRNSKFMS	47.94	0	11.06
BS_QSTAVWGE	23	0	9.87
BS_QT3NZ2YZ	55.46	4.89	43.58
BS_QTSXW7DA	39.75	0.18	14.3
BS_QW60M0FE	31.35	0	13.46
BS_TGS109T3	68.67	0	20.42
BS_TJTEF70D	39.34	0.01	8.75
BS_TK84K675	33.9	0.03	9.4
BS_QX12J6W1	37.06	0.41	23.97
BS_QXKRN6CR	37.98	0.09	10.52
BS_TM9MH0RP	29.4	0	13.47
BS_QZFEB94Q	25.57	0	9.07
BS_R13X6TMW	24.98	0.01	12.82
BS_TRKH2SPE	30.19	0.19	19.13
BS_R244Z0WX	37.5	0	14.38
BS_R4Y180DM	54.49	0.86	19.98
BS_TV5B86ZD	2.2	0	22.51
BS_R634WKN7	44.98	0	21.81
BS_R7HZCZ8B	38.46	0	13.64
BS_TXZ7KHTQ	15.52	0	9.89
BS_AMQGM1V9	56.29	0.01	9.97
BS_RB2S0KDF	47.34	0.01	13.06
BS_V3Z3DB4N	34.9	0.01	16.46
BS_RCFQ31XF	51.1	0	11.99
BS_RFMQ7T0T	39.14	0.03	22.13
BS_VF5XWFXD	45.06	0.01	22.98
BS_RGPSEMHC	37.96	0	11.24
BS_RHD7XPNP	24.62	0	13.52
BS_RQSKD7PN	37.12	0	16.09
BS_RR12T74P	35.4	0	16.91
BS_RRAEQZ97	50.19	0	14
BS_VMMJYN8Z	41.02	0	10.06
BS_RWJZFTP9	45.85	0	14.7
BS_VMQMGSJY	29.73	0.25	22.69
BS_VVTHDRBD	42.09	0.41	20.41
BS_S0175QKX	30.99	0.29	18.87
BS_S1KK7XRH	38.42	0.1	17.26
BS_S458NMKH	52.12	0	12.19
BS_S4V9E1XJ	43.77	0	15.24
BS_S50KQEXV	40.48	0	11.86
BS_W4DB5RP1	42.04	1.77	17.08
BS_S6NJRR5W	25.02	0	11.71
BS_S71RJ8DH	58.91	1.59	17.67
BS_W60RQAKK	52.27	0	17.34
BS_S7CZY2CH	38.3	0	20.52
BS_W97QQYKQ	42.55	0.05	17.31
BS_SAA624A4	3.69	0.01	1.1
BS_SDA4RMMG	38.6	0	15.81
BS_SDCNP7MW	35.36	0	7.83
BS_SDZY6RZ3	37.55	0.06	13.15
BS_SES41DAX	37.29	0.01	11.8
BS_SFKZSJN1	48.12	0	12.33
BS_SFRQXM76	13.9	0.96	16.54
BS_SHMC4902	39.36	0	18.18
BS_W9N9844Q	21.28	0.04	27.03
BS_WAXJY4XQ	45.87	0.28	16.24
BS_WH8G4VFB	29.56	0.03	17.63
BS_WJ9H4NZZ	46.78	0.12	21.9
BS_SQX5E15Z	47.14	0	17.81
BS_SXCZ3CXN	32.31	0	13.24
BS_SXRS2P6T	43.9	0	17.07
BS_WRQHPSXQ	39.66	0.01	19.45
BS_T0RKFEKR	31.32	0	14.16
BS_T1DVKKJB	34.75	0.6	17.1
BS_T1QMEH1N	19.96	0	13.83
BS_T1W4JA94	45.01	0	12.27
BS_T2QPMZCM	51.28	0	14.36
BS_WKESC3XN	43.88	0.05	20.57
BS_T3H5AY8A	15.29	0.11	15.6
BS_T4JFN54G	34.42	0	11.5
BS_T4P3J13C	47.72	0.01	12.28
BS_T55Y4Z0Y	27.97	0.01	16.98
BS_TAHV8N04	39.34	0	14.61
BS_TBWYAFSM	29.56	0	12.12
BS_TCGEZJ5F	43.06	0	15.99
BS_TD1ZEQ7R	23.43	0.62	17.76
BS_TGW6HC4X	73.04	0	11.74
BS_THSPSG2Z	38.15	0	10.18
BS_X23724NJ	23.68	0.04	23.9
BS_TMTV769C	53.08	0	12.68
BS_TNRHHYNC	7.53	0	6.8
BS_X4X1SFSE	36.58	0.74	10.07
BS_TQ5QHR17	29.61	0	8.62
BS_XG0DBWVT	26.34	0	17.63
BS_TXY8QYWA	31.41	0.14	15.35
BS_TYKJ8G2G	48.25	0	15.92
BS_TZ5D0A7R	44.57	0.46	13.09
BS_V0Q1G94N	46.59	0	9.87
BS_V3REENH9	38.61	0	12.46
BS_XQ5SFW35	37.34	0	19.12
BS_V4W81SFC	28.65	0	13.05
BS_V72GX2AZ	47.14	0	11.09
BS_V7BJM89K	36.82	0.08	11.95
BS_V89HGTET	43.22	0	13.21
BS_VAAHBH60	67.47	5.96	22.54
BS_VARR255N	29.62	0	17.29
BS_VJ2S5DVS	61.45	0.15	16.82
BS_VJAC9H58	49.41	0	13.07
BS_MA1A3GY0	22.51	0	10.44
BS_VNK9XYV9	36.2	0.01	18.44
BS_VNWKNRY4	100.6	2.21	27.63
BS_VP3C8WZT	40.59	0	15.34
BS_VP5Y45Z7	50.54	0	13.29
BS_VPMKHW9X	33.5	0	9.79
BS_VPNXJE2S	35.12	2.48	28.86
BS_VR7FR1NE	38.91	0	15.44
BS_NVKGSMXS	48.59	0.01	11.38
BS_VW85Q4XJ	39.79	0.01	13.29
BS_YEW22W35	16.17	0.02	24.42
BS_VXEFKW5P	48.75	0	17.95
BS_VXHWZJDC	42.55	6.14	17.12
BS_P44PE00R	45.91	0	10.31
BS_W36RZSFA	41.22	0.05	13.74
BS_W3R88RFP	44.5	0	14.75
BS_W41S7B55	38.72	0.12	14.41
BS_Z8F3GM85	25.8	0	21.23
BS_W4HGV6E7	32.71	0	11.64
BS_Z8YZ6QGS	18.85	0	16.9
BS_W6AC5J3C	31.25	0	12.45
BS_W72364MN	39.15	0	11.93
BS_W80TJC27	33.38	0.19	15
BS_ZZWMD6FA	50.96	0	14.32
BS_WCRKYV0T	43.31	0.06	9.67
BS_WE3Q8A73	27.34	0	8.73
BS_WFD0GE5X	40.38	0	11
BS_WG203ECV	37.02	0	15.41
BS_WGK8ZMVA	53.9	0.08	15.45
BS_ZV1P6W9C	31.11	0	17.42
BS_ZVWE73JZ	40.05	0	17.7
BS_WJGFDRWK	53.31	0.07	23.1
BS_WMEHNDSK	43.42	1.4	49.25
BS_WRHDP7WF	39.73	0.01	13.77
BS_ME3HKN2C	50.28	0	11.1
BS_WSQMAA33	27.84	0.59	25.23
BS_WV0S8N4M	46.87	0.1	16.98
BS_WVS02TZK	50.09	0	18.27
BS_WVW3W6ZB	45.23	0.19	30.52
BS_WWKNJSJ5	25.19	1.66	14.62
BS_WYERXS4G	31.59	0	9.25
BS_SBFNFZ8B	48.35	0.01	9.41
BS_WYG77VVP	30.97	0.13	14.48
BS_X0F9AYEC	42.81	0	14.35
BS_X16PENSA	40.98	0.01	15.13
BS_X2QTK3QD	29.21	0	11.79
BS_X59HSFGG	37.5	0.01	19.62
BS_X67GTEM6	38.06	0.06	12
BS_X91K8KMG	46.29	0	15.81
BS_X9EGD530	32.39	0	12.23
BS_XBQZYS8G	44.09	2.05	35.13
BS_XF0ZX2B3	26.61	0.02	14.97
BS_XGSA3GQE	45.82	0	15.3
BS_XHCYEE2S	35.53	0	18.71
BS_VNE0ZPBS	30.78	0.07	11.98
BS_2SHWPB5P	9.24	0.01	9.04
BS_XKKB4MZV	52.62	0	17.5
BS_XQYHPBFS	38.86	0	12.37
BS_XZTV0J8W	58.74	0.27	14.81
BS_Y08D5P8N	21.76	0	10.57
BS_Y0PCBNJV	50.61	0	13.73
BS_Y3G1X98S	34.65	0	13.67
BS_Y7F9E2E9	36.46	0	9.98
BS_YA8RBGD8	52.21	0.01	17.34
BS_YB07VF1X	25.48	1.23	13.88
BS_YB2RXRHT	49.92	0.01	13.55
BS_YBJBSRHV	26.97	0.13	42.66
BS_YCREDZTJ	27.14	0	18.29
BS_YE1MAQYJ	29.74	0.06	14.11
BS_YEQVW4ND	43.51	0.01	12.13
BS_YG0A13JH	19.44	0	39.41
BS_YH05F9DB	27.93	0.01	19.06
BS_W18SF91A	37.56	0	13.95
BS_YMAJC22S	51.54	0.01	11.88
BS_XJTW0P8P	64.83	0	11.24
BS_YVMEEBKC	45.29	0	15.94
BS_YY5B2XDD	32.98	0	14.61
BS_YZ2Z1Q6Y	52.02	0	25.93
BS_Z0AVVB1V	28.46	0.01	13.22
BS_Z1A875MW	48.02	0	15.95
BS_Z28VKGNS	23.47	0.01	12.25
BS_Z2NWPQKF	38.4	0	10.52
BS_Z6BWR941	45.75	0	12.63
BS_Z6MC4N8D	34.03	0.01	17.57
BS_Z72QAZC7	26.64	0.03	20.74
BS_Z7890YNR	58.36	4.21	17.03
BS_Z7G68ZS2	28.56	0.24	10.11
BS_Z7Y2466H	48.32	0	17.46
BS_Z85M2R3N	21.34	0	9.08
BS_Z9ZS6ZS2	29.26	0	11.19
BS_ZA9XT151	16.3	0.02	9.02
BS_ZF34SJGN	36.95	0	14.27
BS_ZH1FBX50	40.55	0.03	8.78
BS_2XD3MNKD	28.82	0.01	11.39
BS_ZHHAM3AN	39.05	0.08	14.54
BS_ZJZXDPTP	62.27	0	14.99
BS_JBGZ7HHZ	22.1	0	11.47
BS_ZN8136D9	42.54	0	7.78
BS_NFRXNAFE	70.3	0	16.01
BS_ZRM0W01M	56.3	0	10.84
BS_ZTWGFWTX	34.59	0	14.7
BS_ZV9Z3SY6	40.18	0	14.03
BS_ZVX2GRD6	53.79	0	19.72
BS_ZVZDDW2G	31.97	0	14.63
BS_ZWR9W4FX	33.12	0	14.42
BS_ZZMYDZJW	46.14	0	14.42
BS_09Z7TC35	70.56	2.92	25.97
BS_1AYRM596	66.09	0.2	16.51
BS_1BWP5MCT	69.18	25.73	26.52
BS_1QXEC43H	40.2	2.32	24.12
BS_1TWCV047	74.65	1.84	15.59
BS_2SFTWNVE	61.56	0.36	11.9
BS_2Z1MKS84	52.27	0.16	11.89
BS_3BDAG9YN	29.04	0	17.29
BS_3F5PR9GS	69.15	1.05	18.12
BS_3MYEMXPQ	71.26	0	12.85
BS_3NWQXPQV	74.12	0.16	20.5
BS_3V3KE3VT	49.59	0.82	24.38
BS_44A3ES23	76.86	1.29	24.41
BS_4CP4T22V	88.12	0.17	18.94
BS_4D9DD103	42.19	0.54	11.85
BS_4PH1MBGR	76.66	0.59	16.69
BS_4W68NV3M	41.48	9.87	17.62
BS_5PJCHF6V	85.96	0.09	12.88
BS_5VQP0E6K	60.29	0.38	9.72
BS_61E80SD6	86.42	7.49	17.21
BS_77317DY4	65.93	0.36	11.32
BS_7C40TRCY	49	0.44	17.78
BS_7FWZ518S	71	0.42	11.85
BS_7XQRH69M	67.84	0.36	20.39
BS_81SP2HX4	46.05	0.52	22.42
BS_8GW1TMV2	38.18	0.36	19.66
BS_8T7DZV2F	28.7	0	12.05
BS_9M5XJ10G	82.67	0.79	26.23
BS_9NJHQE9F	52.77	0.9	14.09
BS_9NZ2D6AD	54.31	0.38	21.44
BS_9PB3XH5D	68.74	0.32	23.33
BS_9V633J1X	53.39	0.2	17.2
BS_A14Z8BBK	77.79	0.18	10.45
BS_A87NPZAP	67.51	0.69	16.66
BS_AHEFXG7W	46.61	0.61	14.34
BS_AM70R8RG	61.86	1.56	25.41
BS_AMZ70B6F	54.01	0.14	22.16
BS_BA6AZWB3	58.72	1.39	16.35
BS_BPWEFR89	61.89	1.31	17.74
BS_BSV07M7Z	56.88	0.02	21.85
BS_BVSW4GTG	68.08	0.08	22.48
BS_CHDGRYHJ	34.76	0.6	22.84
BS_D144EJRQ	71.5	0.43	12.97
BS_DFWFBYSN	72.67	0.04	19.4
BS_E3BAT4C1	52.01	0.12	15.5
BS_EFE4YEK3	79.72	0.01	16.71
BS_ERWT0ZWE	42.27	0.28	19.71
BS_FCAKKZ20	74.96	1.54	15.03
BS_FKDQJJB5	60.58	0.94	26.89
BS_G00FHF3Q	80.41	0.02	22.12
BS_GCQFGDTX	57.93	3.09	23.06
BS_GE2RVZE6	73.99	0.13	26.61
BS_GNV89A5P	86.27	0.26	15.19
BS_GS1KR5PK	36.63	3.16	12.72
BS_H4B5Y6S0	48.2	0.26	15.4
BS_HB03GSHF	48.27	0.1	21.34
BS_HD4EJYE3	67.41	0.07	16.88
BS_HE57E1RP	57.42	3.44	23.86
BS_HF3RNN2T	103.96	0.03	18.4
BS_HHPA8NJ2	59.49	1.14	13.11
BS_HKZENFDA	46.45	0.1	13.95
BS_HTEPAKCM	86.89	0	12.28
BS_HZE3KYZ1	89.5	0.02	19.7
BS_HZRM07TW	18.08	0.3	15.92
BS_J1AB8PMA	47.44	2.84	23.01
BS_J71N7D09	112.86	0.59	11.04
BS_J8G4SH4Z	81.75	0.15	15.32
BS_JFB984RG	73.39	0.94	13.1
BS_JR5ATB7G	49.2	2.08	13.79
BS_JT82QGXF	35.11	2.86	19.26
BS_JTMXAMB7	32.47	0.02	6.53
BS_JZRM1S3T	45.41	0.15	13.87
BS_K3ER45RV	34.51	0.49	12.13
BS_K74PZET7	65.48	0.76	14.47
BS_K81DR8XG	30.83	0.46	15.77
BS_KN92S7YQ	59.37	0.07	12.69
BS_KVNGNETA	47.4	1.25	57.15
BS_KYF0Q0E7	49.14	0.43	12.95
BS_M15PW2N0	59.22	1.55	16.81
BS_M84H3KXA	41.23	0.12	9.99
BS_M86ECPHK	53.02	4.48	21.73
BS_N4B1SZZH	57.32	1	15.83
BS_NKEAAFMW	55.27	8.76	25.81
BS_NKRYMHEP	75.09	0.09	14.6
BS_NZ71XCG3	86	0.31	17.2
BS_QEYPFYHD	44.09	0.31	10.28
BS_QPPPGYP4	39.33	0.32	12.22
BS_QRDT19KS	69.95	0.77	13.51
BS_QWNBZ9RJ	54.26	0.21	13.83
BS_R439VVPK	44.93	1.84	33.96
BS_R6WNEEE4	59.9	0.08	20.83
BS_RCC8BXVE	53.47	0.01	14.71
BS_RD4D5F9F	62.55	0.32	23.21
BS_RSRPX3S8	29.62	0.32	27.42
BS_S1M423AB	87.55	1.1	17.06
BS_S69QZAJR	48.18	0.56	26.67
BS_SKGJ5SY9	67.31	0.23	15.59
BS_TA9WP4TH	46.75	0.56	16.32
BS_TE0GVDNG	79.44	0.23	14.41
BS_TW8DQH8J	49.25	0.13	14.39
BS_TYAYZ9ZW	60.87	0.35	19.78
BS_TZVFR600	79.98	1.64	16.96
BS_V72H4RQS	62.09	3.97	14.86
BS_V96WVE3Z	47.77	0.81	26.86
BS_V9HVBBDW	67.97	1.93	18.69
BS_VA5T4KAA	82.37	0.49	15.29
BS_VJVDJABP	49.33	0.07	15.91
BS_VMEX27TN	82.84	0	17.73
BS_VPBMDMQX	56.82	0.16	24.36
BS_VT6C6N6K	43.06	0.12	21.14
BS_VVFBW0YH	74.78	1.63	22.73
BS_W311713R	89.36	5.36	21.71
BS_W644VEVE	52.37	5.57	29.74
BS_W9AT0MR7	73.45	1.32	15.32
BS_WH5HDE0A	71.03	0.02	23.66
BS_Y8D1F5WW	62.09	0.01	23.35
BS_YEB88D32	89.27	1.23	15.85
BS_YETBN0RQ	62.68	0.03	10.35
BS_Z45HD492	51.79	0.86	20.56
BS_Z7PKVY9J	49.28	0.05	10.87
BS_ZV68CES9	39.35	0.05	13.3
BS_ZXYDSBM9	43.26	1.02	15.32
BS_0VXZCRJS	13.97	0.07	26.76
BS_0ZA67BBC	16.56	0.01	25.93
BS_1N7MQZGR	13.13	0.01	17.52
BS_21ET39G7	18.83	0.01	17.15
BS_2JP7RBMB	14.17	0.05	21.19
BS_3AC3SRWH	3	0	7.36
BS_49CJNZ06	5.23	0	42.64
BS_4PPHAQXF	19.78	0.58	23.23
BS_4PWDGEB0	17.17	0	14.43
BS_58YXHGAJ	19.38	1.49	34.99
BS_5VPM0F36	11.81	0	20.35
BS_68KX6A42	19.8	1.09	24.58
BS_6M2053M0	11.86	0.03	26.45
BS_685DACMS	14.12	0.77	53.81
BS_7WM3MNZ0	1.91	0	29.04
BS_8ZY4GST0	8.55	0	20.4
BS_BMMY0H73	5.76	0	25.34
BS_BYCX6VK1	19.81	0	34.36
BS_C83TK159	21.15	0.02	15.9
BS_EZ3147MX	37.24	0.06	28.31
BS_F0JB4EAK	11.4	0.05	16.45
BS_FCDAH728	19.81	0.12	44.93
BS_G3NN392N	0.79	0.01	15.66
BS_GWSJ4Z9H	18.6	0.13	24.68
BS_H97S5SQN	20.32	0.01	17.92
BS_HWGWYCY7	25.05	0	21.04
BS_JB43XBCQ	16.91	0.02	20.39
BS_JQVAWTTM	8.79	0.12	16.01
BS_KBEX4RT2	19.89	0	20.79
BS_JGA9BP3A	37.98	0.09	33.14
BS_NB9XXBW6	17.24	0	20.98
BS_NEVYM2FP	19.36	0	19.6
BS_NGSG2KB6	16.18	0.07	20.43
BS_NPA6CZQF	14.85	0.6	24.61
BS_PS0P3QJ3	11.3	0.01	22.39
BS_PXCPK5XS	11.46	0	39.39
BS_QNNX91SM	23.27	0.39	24.59
BS_R7NTZR4C	10.92	0	33.99
BS_R9B92M75	17.65	0.23	15.87
BS_RX1YTZ7F	16.3	0.01	38.64
BS_SNVM7CZT	15.84	0	31.02
BS_T3DGY9J9	14.83	0	20.72
BS_QKT3TJVK	25.65	0.01	39.97
BS_W1385R8Y	13.98	0.06	52.06
BS_W4H1D4Y6	20.75	0.62	35.6
BS_W7MFJZ5A	16.65	0	27.6
BS_X0XXN9BK	10.61	0.02	48.37
BS_X4DD4KSZ	21.97	0.19	23.54
BS_XGDPK33A	18.67	0.33	26.21
BS_XM1AHBDJ	0.86	0	8.8
BS_XZM79E42	2.55	0.01	18.41
BS_YDEVMD24	7.44	0	18.57
BS_Z3RCA1T9	22.68	0.45	22.36
BS_ZD5HN296	17.41	0	18.54
BS_ZF6BSFNF	13.7	0	17.39
BS_ZQ76ZBEX	6.27	0	24.84
BS_ZQKGJD70	22.03	0.42	27.9
BS_S6Q7NKA3	38.56	0.76	26.49
